user_id,posted,item_id,recommend,sentiment_analysis,year
76561197970982479,"Posted November 5, 2011.",1250,True,2,2011
76561197970982479,"Posted July 15, 2011.",22200,True,2,2011
76561197970982479,"Posted April 21, 2011.",43110,True,2,2011
js41637,"Posted June 24, 2014.",251610,True,2,2014
js41637,"Posted September 8, 2013.",227300,True,2,2013
js41637,"Posted November 29, 2013.",239030,True,2,2013
evcentric,Posted February 3.,248820,True,2,
evcentric,"Posted December 4, 2015.",370360,True,2,2015
evcentric,"Posted November 3, 2014.",237930,True,2,2014
evcentric,"Posted October 15, 2014.",263360,True,1,2014
evcentric,"Posted October 15, 2014.",107200,True,2,2014
evcentric,"Posted October 15, 2014.",224500,True,2,2014
doctr,"Posted October 14, 2013.",250320,True,2,2013
doctr,"Posted July 28, 2012.",20920,True,2,2012
doctr,"Posted June 2, 2012.",204100,True,2,2012
doctr,"Posted June 29, 2014.",224600,True,2,2014
doctr,"Posted November 22, 2012.",207610,True,0,2012
doctr,"Posted February 23, 2012.",108710,True,2,2012
maplemage,"Posted April 15, 2014.",211420,True,1,2014
maplemage,"Posted December 23, 2013.",211820,True,2,2013
maplemage,"Posted March 14, 2014.",730,True,2,2014
maplemage,"Posted July 11, 2013.",204300,True,2,2013
Wackky,"Posted May 5, 2014.",249130,True,1,2014
Wackky,"Posted December 24, 2012.",207610,True,1,2012
Wackky,"Posted October 21, 2012.",550,True,2,2012
Wackky,"Posted March 20, 2012.",65800,True,2,2012
Wackky,"Posted March 9, 2012.",220,True,2,2012
76561198079601835,Posted May 20.,730,True,1,
MeaTCompany,Posted July 24.,730,True,2,
76561198089393905,"Posted February 1, 2015.",72850,True,0,2015
76561198089393905,"Posted June 20, 2014.",440,True,1,2014
76561198156664158,Posted June 16.,252950,True,2,
76561198077246154,Posted June 11.,440,True,1,
76561198077246154,"Posted August 25, 2014.",304930,True,1,2014
WeiEDKrSat,"Posted December 25, 2013.",4000,True,1,2013
thequeenpanda,"Posted June 23, 2012.",42910,True,1,2012
death-hunter,"Posted September 5, 2015.",232090,True,2,2015
death-hunter,"Posted March 30, 2015.",1250,True,2,2015
death-hunter,"Posted February 19, 2014.",4000,True,2,2014
DJKamBer,"Posted July 14, 2014.",304930,True,2,2014
DJKamBer,"Posted April 27, 2013.",570,True,2,2013
DJKamBer,"Posted July 20, 2015.",218620,True,2,2015
DJKamBer,"Posted November 4, 2013.",224260,True,2,2013
DJKamBer,"Posted July 12, 2013.",1250,True,0,2013
DJKamBer,"Posted August 19, 2012.",440,True,2,2012
Rainbow-Dashie,"Posted June 19, 2015.",730,True,2,2015
Rainbow-Dashie,"Posted September 20, 2014.",440,True,2,2014
Rainbow-Dashie,"Posted September 7, 2014.",49520,True,1,2014
76561198043472122,"Posted December 19, 2014.",33440,False,1,2014
MarbleShrine,"Posted February 17, 2015.",220200,True,2,2015
PPanther,"Posted June 7, 2014.",211820,True,2,2014
devvonst,"Posted February 12, 2014.",440,True,2,2014
devvonst,"Posted February 9, 2014.",218740,True,2,2014
devvonst,"Posted October 31, 2015.",550,True,2,2015
Fr0stedLine,Posted February 27.,220,True,2,
starkillershadow553,"Posted February 4, 2015.",238090,True,0,2015
starkillershadow553,Posted August 23.,242130,True,0,
starkillershadow553,"Posted April 5, 2014.",277430,True,2,2014
76561198058373434,"Posted January 8, 2015.",8870,True,2,2015
76561198048353577,"Posted October 26, 2015.",368230,True,0,2015
76561198048353577,Posted May 16.,4000,True,2,
76561198048353577,"Posted March 20, 2013.",33930,True,2,2013
76561198066046412,"Posted December 28, 2015.",359320,False,0,2015
76561198066046412,"Posted May 19, 2015.",219640,True,2,2015
tru_mu_,"Posted December 15, 2015.",287980,True,2,2015
76561198070565427,Posted March 31.,218620,True,1,
76561198070565427,"Posted August 21, 2015.",208090,True,2,2015
76561198070565427,"Posted October 17, 2014.",242700,True,1,2014
76561198070565427,"Posted June 27, 2014.",570,False,1,2014
76561198070565427,"Posted April 28, 2014.",224260,True,1,2014
SavageEeEe,"Posted November 12, 2015.",221100,True,2,2015
76561198076909484,"Posted June 18, 2014.",570,True,2,2014
KanadeTheNeko,"Posted November 20, 2014.",331470,True,2,2014
KanadeTheNeko,"Posted May 29, 2014.",4000,True,2,2014
Leaf_Light_Moscow,Posted July 9.,323370,True,2,
GoAwayZach,"Posted December 29, 2014.",304930,True,2,2014
76561198054540475,"Posted February 13, 2015.",12210,True,0,2015
76561198054540475,"Posted December 26, 2014.",265210,True,1,2014
76561198054540475,"Posted February 4, 2014.",48700,True,2,2014
76561198085547365,Posted June 16.,238460,True,2,
76561198085547365,Posted June 16.,34900,True,2,
76561198061252210,"Posted May 21, 2015.",730,True,2,2015
OfficialShroomsy,"Posted December 6, 2013.",113200,True,2,2013
boydeer,"Posted May 12, 2014.",440,True,1,2014
boydeer,"Posted August 24, 2015.",383080,False,1,2015
VVillis,"Posted January 6, 2015.",213670,True,1,2015
76561198083226897,"Posted December 22, 2015.",105600,True,1,2015
